"character","dialogues"
"MAN ","Yeah"
"WOMAN ","Is everything in place?"
"TRINITY","I said, is everything in place?"
"CYPHER","You weren't supposed to relieve me."
"TRINITY","I know but I felt like taking a shift."
"CYPHER","You like him, don't you?  You like watching him?"
"TRINITY","Don't be ridiculous."
"CYPHER","We're going to kill him.Do you understand that? He's going to die just like the others."
"TRINITY","Morpheus believes he is the One."
"CYPHER","Do you?"
"TRINITY","I... it doesn't matter what I believe."
"CYPHER","You don't, do you?"
"TRINITY","If you have something to say, I suggest you say it to Morpheus."
"CYPHER","I intend to, believe me. Someone has to."
"TRINITY","Did you hear that?"
"CYPHER","Hear what?"
"TRINITY","Are you sure this line is clean?"
"CYPHER","Yeah, 'course I'm sure."
"TRINITY","I better go."
"BIG COP","Police!  Freeze!"
"BIG COP","Hands behind your head!  Now!  Do it!"
"AGENT SMITH","Lieutenant?"
"LIEUTENANT","Oh shit."
"AGENT SMITH","Lieutenant, you were given specific orders "
"LIEUTENANT","I'm just doing my job.  You gimme that Juris-my-dick-tion and you can cram it up your ass."
"AGENT SMITH","The orders were for your protection."
"LIEUTENANT","I think we can handle one little girl."
"LIEUTENANT","I sent two units.They're bringing her down now."
"AGENT SMITH","No, Lieutenant, your men are already dead."
"TRINITY","Shit."
"MAN","Operator."
"TRINITY","Morpheus!  The line was traced!I don't know how."
"MORPHEUS","I know.  They cut the hardline.This line is not a viable exit."
"TRINITY","Are they any agent?"
"MORPHEUS","Yes."
"TRINITY","Goddamnit!"
"MORPHEUS","You have to focus.  There is a phone. Wells and Lake.  You can make it.She takes a deep breath, centering herself"
"TRINITY","All right "
"MORPHEUS","Go."
"COP","Mutherfucker -- that's impossible!"
"TRINITY","Get up, Trinity.  You're fine.  Get up -- just get up!"
"AGENT JONES","Then the informant is real."
"AGENT SMITH","Does that surprise you?  It was inevitable."
"AGENT JONES","He'll be contacting us again."
"AGENT SMITH","Expect it.  Did you get anything from the room?"
"AGENT JONES","Their next target.  The name is Neo."
"AGENT SMITH","We'll need a search running."
"AGENT JONES","It's already begun."
"NEO","What...?"
"NEO","What the hell?"
"NEO","Who is it?"
"CHOI","It's Choi"
"NEO","You're two hours late."
"CHOI","I know.  It's her fault."
"NEO","You got the money?"
"CHOI","Two grand."
"NEO","Hold on."
"CHOI","Hallelujah!  You are my savior, man!My own personal Jesus Christ!"
"NEO","If you get caught using that --"
"CHOI","I know, I know. This never happened.  You don't exist."
"NEO","Right..."
"CHOI","Something wrong, man?  You look a little whiter than usual."
"NEO","I don't know... My computer..."
"NEO","You ever have the feeling that you're not sure if you're awake or still dreaming?"
"CHOI","All the time.  It's called mescaline and it is the only way to fly."
